wunderground_code,latitude,longitude,distocen,Elev,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101,X102,X103,X104,X105,X106,X107,X108,X109,X110,X111,X112,X113,X114,X115,X116,X117,X118,X119,X120,X121,X122,X123,X124,X125,X126,X127,X128,X129,X130,X131,X132,X133,X134,X135,X136,X137,X138,X139,X140,X141,X142,X143,X144,X145,X146,X147,X148,X149,X150,X151,X152,X153,X154,X155,X156,X157,X158,X159,X160,X161,X162,X163,X164,X165,X166,X167,X168,X169,X170,X171,X172,X173,X174,X175,X176,X177,X178,X179,X180,X181,X182,X183,X184,X185,X186,X187,X188,X189,X190,X191,X192,X193,X194,X195,X196,X197,X198,X199,X200,X201,X202,X203,X204,X205,X206,X207,X208,X209,X210,X211,X212,X213,X214,X215,X216,X217,X218,X219,X220,X221,X222,X223,X224,X225,X226,X227,X228,X229,X230,X231,X232,X233,X234,X235,X236,X237,X238,X239,X240,X241,X242,X243,X244,X245,X246,X247,X248,X249,X250,X251,X252,X253,X254,X255,X256,X257,X258,X259,X260,X261,X262,X263,X264,X265,X266,X267,X268,X269,X270,X271,X272,X273,X274,X275,X276,X277,X278,X279,X280,X281,X282,X283,X284,X285,X286,X287,X288,X289,X290,X291,X292,X293,X294,X295,X296,X297,X298,X299,X300,X301,X302,X303,X304,X305,X306,X307,X308,X309,X310,X311,X312,X313,X314,X315,X316,X317,X318,X319,X320,X321,X322,X323,X324,X325,X326,X327,X328,X329,X330,X331,X332,X333,X334,X335,X336,X337,X338,X339,X340,X341,X342,X343,X344,X345,X346,X347,X348,X349,X350,X351,X352,X353,X354,X355,X356,X357,X358,X359,X360,X361,X362,X363,X364,X365,X366,X367,X368,X369,X370,X371,X372,X373,X374,X375,X376,X377,X378,X379,X380,X381,X382,X383,X384,X385,X386,X387,X388,X389,X390,X391,X392,X393,X394,X395,X396,X397,X398,X399,X400,X401,X402,X403,X404,X405,X406,X407,X408,X409,X410,X411,X412,X413,X414,X415,X416,X417,X418,X419,X420,X421,X422,X423,X424,X425,X426,X427,X428,X429,X430,X431,X432,X433,X434,X435,X436,X437,X438,X439,X440,X441,X442,X443,X444,X445,X446,X447,X448,X449,X450,X451,X452,X453,X454,X455,X456,X457,X458,X459,X460,X461,X462,X463,X464,X465,X466,X467,X468,X469,X470,X471,X472,X473,X474,X475,X476,X477,X478,X479,X480,X481,X482,X483,X484,X485,X486,X487,X488,X489,X490,X491,X492,X493,X494,X495,X496,X497,X498,X499,X500,X501,X502,X503,X504,X505,X506,X507,X508,X509,X510,X511,X512,X513,X514,X515,X516,X517,X518,X519,X520,X521,X522,X523,X524,X525,X526,X527,X528,X529,X530,X531,X532,X533,X534,X535,X536,X537,X538,X539,X540,X541,X542,X543,X544,X545,X546,X547,X548,X549,X550,X551,X552,X553,X554,X555,X556,X557,X558,X559,X560,X561,X562,X563,X564,X565,X566,X567,X568,X569,X570,X571,X572,X573,X574,X575,X576,X577,X578,X579,X580,X581,X582,X583,X584,X585,X586,X587,X588,X589,X590,X591,X592,X593,X594,X595,X596,X597,X598,X599,X600,X601,X602,X603,X604,X605,X606,X607,X608,X609,X610,X611,X612,X613,X614,X615,X616,X617,X618,X619,X620,X621,X622,X623,X624,X625,X626,X627,X628,X629,X630,X631,X632,X633,X634,X635,X636,X637,X638,X639,X640,X641,X642,X643,X644,X645,X646,X647,X648,X649,X650,X651,X652,X653,X654,X655,X656,X657,X658,X659,X660,X661,X662,X663,X664,X665,X666,X667,X668,X669,X670,X671,X672,X673,X674,X675,X676,X677,X678,X679,X680,X681,X682,X683,X684,X685,X686,X687,X688,X689,X690,X691,X692,X693,X694,X695,X696,X697,X698,X699,X700,X701,X702,X703,X704,X705,X706,X707,X708,X709,X710,X711,X712,X713,X714,X715,X716,X717,X718,X719,X720,X721,X722,X723,X724,X725,X726,X727,X728,X729,X730,X731,X732,X733,X734,X735,X736,X737,X738,X739,X740,X741,X742,X743,X744,X745,X746,X747,X748,X749,X750,X751,X752,X753,X754,X755,X756,X757,X758,X759,X760,X761,X762,X763,X764,X765,X766,X767,X768,X769,X770,X771,X772,X773,X774,X775,X776,X777,X778,X779,X780,X781,X782,X783,X784,X785,X786,X787,X788,X789,X790,X791,X792,X793,X794,X795,X796,X797,X798,X799,X800,X801,X802,X803,X804,X805,X806,X807,X808,X809,X810,X811,X812,X813,X814,X815,X816,X817,X818,X819,X820,X821,X822,X823,X824,X825,X826,X827,X828,X829,X830,X831,X832,X833,X834,X835,X836,X837,X838,X839,X840,X841,X842,X843,X844,X845,X846,X847,X848,X849,X850,X851,X852,X853,X854,X855,X856,X857,X858,X859,X860,X861,X862,X863,X864,X865,X866,X867,X868,X869,X870,X871,X872,X873,X874,X875,X876,X877,X878,X879,X880,X881,X882,X883,X884,X885,X886,X887,X888,X889,X890,X891,X892,X893,X894,X895,X896,X897,X898,X899,X900,X901,X902,X903,X904,X905,X906,X907,X908,X909,X910,X911,X912,X913,X914,X915,X916,X917,X918,X919,X920,X921,X922,X923,X924,X925,X926,X927,X928,X929,X930,X931,X932,X933,X934,X935,X936,X937,X938,X939,X940,X941,X942,X943,X944,X945,X946,X947,X948,X949,X950,X951,X952,X953,X954,X955,X956,X957,X958,X959,X960,X961,X962,X963,X964,X965,X966,X967,X968,X969,X970,X971,X972,X973,X974,X975,X976,X977,X978,X979,X980,X981,X982,X983,X984,X985,X986,X987,X988,X989,X990,X991,X992,X993,X994,X995,X996,X997,X998,X999,X1000,X1001,X1002,X1003,X1004,X1005,X1006,X1007,X1008,X1009,X1010,X1011,X1012,X1013,X1014,X1015,X1016,X1017,X1018,X1019,X1020,X1021,X1022,X1023,X1024,X1025,X1026,X1027,X1028,X1029,X1030,X1031,X1032,X1033,X1034,X1035,X1036,X1037,X1038,X1039,X1040,X1041,X1042,X1043,X1044,X1045,X1046,X1047,X1048,X1049,X1050,X1051,X1052,X1053,X1054,X1055,X1056,X1057,X1058,X1059,X1060,X1061,X1062,X1063,X1064,X1065,X1066,X1067,X1068,X1069,X1070,X1071,X1072,X1073,X1074,X1075,X1076,X1077,X1078,X1079,X1080,X1081,X1082,X1083,X1084,X1085,X1086,X1087,X1088,X1089,X1090,X1091,X1092,X1093,X1094,X1095,X1096
SKLC,7.817416,-76.717697,0.12184,54,84,91,84,87,86,86,85,74,83,87,89,88,89,87,87,87,87,86,86,87,87,82,86,89,87,86,88,87,87,88,87,87,87,87,87,89,88,89,87,87,86,87,87,87,89,88,89,88,88,86,87,87,87,87,87,87,87,87,86,82,90,87,89,89,87,83,77,85,87,87,90,84,87,NA,NA,76,88,NA,78,87,84,87,90,89,86,87,90,89,86,89,89,87,89,89,89,NA,88,91,86,89,90,89,86,89,86,87,87,87,87,84,88,89,80,91,87,90,91,91,86,86,91,79,87,87,88,87,87,89,86,91,92,87,89,86,87,89,87,87,87,82,91,91,84,89,86,90,88,91,83,87,88,85,87,89,91,86,86,80,86,89,87,90,86,87,87,91,93,93,89,87,89,91,89,87,87,87,87,89,90,95,88,90,87,91,86,87,87,89,87,91,89,87,89,91,89,89,87,88,84,89,91,89,87,89,90,92,88,89,89,89,91,84,93,NA,NA,NA,NA,86,84,87,NA,NA,77,89,86,87,92,89,89,87,87,89,87,87,86,91,80,84,89,86,91,91,91,91,81,89,89,91,86,89,89,89,86,83,88,87,84,88,91,93,89,89,89,87,89,91,89,87,87,91,84,93,91,89,90,89,91,87,87,87,89,86,93,91,90,87,87,89,88,80,86,89,87,89,89,91,86,89,82,91,90,93,89,84,91,87,92,86,91,88,89,87,86,84,84,86,86,91,91,88,91,91,87,87,91,88,90,89,84,86,89,89,89,90,90,84,84,86,82,89,80,86,80,86,88,89,84,90,87,87,88,87,89,87,87,88,87,89,89,89,87,88,87,87,89,89,89,89,90,89,89,88,87,87,88,88,86,88,87,87,86,84,87,84,84,82,79,87,86,86,84,78,86,87,86,86,87,87,87,84,89,87,87,84,87,87,86,86,87,86,86,89,88,87,87,88,89,89,89,87,87,86,87,86,89,88,87,89,89,89,87,89,87,87,87,89,87,87,87,87,87,86,88,87,89,87,89,87,87,87,86,85,82,87,86,87,87,86,87,87,86,87,86,89,91,86,89,88,91,85,89,90,89,89,89,90,88,88,87,86,88,91,89,89,89,87,89,88,91,87,89,91,89,91,91,88,91,89,91,84,90,87,89,89,87,86,88,91,88,86,87,87,84,85,86,87,87,89,87,88,82,89,86,86,84,88,89,90,91,91,89,92,89,91,93,89,87,86,93,91,93,93,91,91,89,90,91,91,91,89,86,89,87,87,93,87,84,84,87,87,84,89,87,87,86,87,88,84,82,89,91,89,86,91,91,88,92,89,91,92,91,91,93,90,85,82,86,88,91,87,86,86,89,87,89,91,87,88,93,87,86,87,86,89,91,87,89,91,89,93,91,90,87,90,90,89,91,84,82,NA,NA,87,91,90,89,86,89,87,91,91,87,87,88,93,91,88,89,86,89,91,92,91,90,87,92,89,86,89,87,89,89,87,89,83,89,89,91,89,89,93,86,89,88,86,89,91,93,84,87,91,89,93,92,89,91,87,91,84,89,89,91,91,88,86,84,82,87,93,90,89,86,91,86,91,89,86,87,90,89,88,91,89,86,88,90,87,88,88,89,87,89,86,86,89,87,87,86,89,89,89,89,90,90,91,91,89,89,91,89,89,89,93,94,91,91,89,90,90,89,89,88,89,89,90,90,89,89,89,89,89,89,89,87,86,89,89,92,91,87,89,90,89,89,89,89,90,89,87,88,87,84,87,89,89,88,89,88,86,89,90,89,86,96,91,88,88,87,86,84,86,89,89,89,88,91,91,91,91,93,93,92,91,90,91,89,87,89,93,88,87,89,86,88,89,91,92,90,91,93,89,89,95,96,91,89,91,92,87,91,90,87,91,90,93,93,93,93,89,93,87,91,91,91,82,80,86,92,87,87,91,86,92,93,93,91,93,84,91,91,92,86,93,92,94,86,94,89,90,92,93,89,93,89,91,84,91,92,89,91,81,92,91,83,90,88,93,91,90,90,92,91,91,92,93,89,88,87,93,93,91,86,90,89,92,92,81,91,93,94,94,91,91,90,88,90,90,89,91,93,90,89,87,92,90,88,92,87,88,92,90,91,89,86,92,86,91,91,92,91,92,91,84,93,92,91,87,87,93,92,92,91,92,94,90,91,93,87,92,90,93,85,94,92,92,94,89,93,89,86,89,90,91,93,92,88,88,87,93,91,87,87,93,86,90,92,88,92,91,87,92,91,89,91,94,85,92,90,87,88,89,87,95,93,93,87,91,87,95,93,88,87,93,89,90,87,87,86,91,88,88,90,82,90,93,84,91,88,86,86,84,93,89,89,87,80,86,90,95,92,90,87,91,83,93,87,89,84,90,87,87,89,89,91,89,86,90,91,91,87,82,89,90,85,89,90,86,87,90,87,86,91,87,88,91,90,92,87,91,89,87,90,89,90,89,91,91,92,89,89,88,88,85,88,89,82,87
SKUC,7.068163,-70.735321,2.08023,118,92,92,91,90,92,90,90,91,83,92,90,92,92,92,92,91,94,94,93,92,92,93,96,94,93,93,94,94,92,91,90,91,93,91,91,94,95,92,91,93,95,95,95,97,95,95,95,95,93,94,93,93,95,94,94,94,92,95,88,94,95,94,91,95,93,94,90,96,94,92,96,96,89,96,96,73,99,NA,99,98,98,93,96,98,97,96,96,98,98,99,97,90,94,84,91,NA,87,94,93,94,95,93,95,96,82,92,90,81,84,87,91,85,90,81,84,92,90,93,91,92,91,93,93,93,88,94,82,86,86,81,87,92,90,91,89,82,90,89,92,94,88,90,91,92,92,91,78,84,88,86,90,92,88,90,91,91,88,86,82,89,90,78,86,89,86,79,84,86,91,80,80,84,86,85,83,77,87,89,80,86,86,87,90,90,90,88,82,82,88,82,78,77,83,83,83,86,86,85,89,89,82,84,89,87,89,91,82,85,90,85,86,90,87,NA,NA,90,87,86,83,86,NA,NA,77,84,90,83,89,84,84,88,84,88,87,90,87,90,92,81,87,87,91,91,92,89,90,81,90,92,86,89,89,88,89,82,88,89,86,85,90,90,85,88,86,89,91,84,88,91,92,90,92,91,92,88,86,90,88,85,85,88,90,87,85,79,90,80,90,90,90,88,88,91,81,91,87,91,91,87,90,83,89,90,89,90,90,90,90,89,86,84,93,81,90,91,90,88,86,89,87,83,90,90,88,89,88,90,89,89,87,88,87,88,91,90,90,90,91,92,91,90,91,87,90,88,88,89,90,90,92,91,91,91,90,91,91,91,92,91,92,90,92,92,92,91,91,91,92,90,90,91,92,90,90,87,90,90,93,93,94,93,93,93,84,91,87,90,90,88,87,89,93,71,93,94,88,91,85,88,90,86,92,92,91,92,93,87,95,86,89,93,91,94,93,93,93,94,94,93,94,93,93,NA,95,92,91,94,95,94,93,93,94,92,93,91,93,95,94,95,95,96,94,91,87,83,90,96,95,95,96,96,95,95,95,97,95,97,80,82,89,91,94,94,95,90,93,91,84,87,87,92,86,81,84,84,88,91,91,95,92,90,90,95,95,90,93,93,95,95,95,95,93,91,88,83,93,93,95,92,88,80,92,90,90,88,91,91,88,81,91,87,91,91,90,81,87,89,88,81,88,90,88,90,78,80,90,89,82,89,88,87,84,84,87,86,87,86,84,80,87,86,76,82,79,84,87,88,87,84,81,90,89,88,82,85,89,82,90,90,83,83,87,87,85,87,83,81,82,88,87,79,83,89,88,81,89,84,90,91,87,84,82,89,90,88,86,92,87,91,92,88,84,85,79,83,85,88,84,90,90,88,91,88,91,87,91,91,89,82,89,81,87,90,91,91,91,91,89,89,90,NA,NA,77,92,89,91,89,89,92,93,90,93,93,91,92,93,93,94,92,91,89,91,94,91,93,93,92,93,92,87,86,83,85,90,92,91,93,90,93,93,93,90,84,79,89,92,92,92,91,91,91,86,90,82,88,86,88,88,91,82,84,89,89,87,86,85,90,88,90,88,90,86,89,90,89,90,90,89,90,88,90,87,79,88,87,87,87,90,90,89,90,90,90,88,90,87,83,85,87,89,89,88,89,88,90,89,90,90,91,89,90,88,91,87,91,93,91,92,93,92,92,93,93,92,91,91,91,93,92,93,89,92,93,92,94,92,92,92,93,93,95,93,94,94,96,95,96,93,95,95,98,97,95,96,96,96,95,94,99,97,97,95,97,96,97,99,96,92,97,97,99,96,96,97,97,98,99,100,99,98,99,96,96,97,98,94,94,88,93,98,101,100,101,99,99,98,99,99,98,97,96,86,92,86,87,92,91,86,92,89,89,97,97,97,92,86,95,85,97,99,89,80,93,86,86,84,92,95,95,87,82,82,85,85,87,89,91,86,90,88,91,86,86,91,88,88,89,87,89,82,80,89,87,87,90,88,89,84,89,88,88,78,90,78,86,84,93,90,91,83,90,78,85,88,90,88,81,84,90,86,81,80,81,86,84,83,87,79,84,90,90,88,88,87,90,81,84,86,82,82,89,89,87,81,90,85,88,84,79,85,90,90,86,86,86,90,84,82,90,86,86,86,88,90,83,83,86,87,84,90,91,92,84,86,90,86,86,90,88,89,90,83,88,92,90,90,90,91,89,89,90,90,87,90,90,85,87,87,90,88,90,89,89,89,80,88,91,89,82,86,90,86,88,92,92,90,91,90,92,84,89,92,92,96,94,84,82,85,92,92,93,90,92,88,93,90,92,90,92,83,91,91,91,92,91,92,93,90,90,92,91,88,87,84,87,91,89,89,89,87,88,88,90,90,90,91,90,91,91,91,90,91,89,89,89,89,89,88,90,90,89,92,85,90,80,87,78,90,86,89,88,90,91,90,87,89,90,87,89,89,88,91,89,89,89,89,85,89,90,89,89,89,89,89,88,89,78
SKAR,4.452841,-75.76635,1.431,1171,82,82,84,85,86,78,74,80,75,79,82,82,83,84,86,84,83,84,82,84,82,81,82,83,81,79,83,82,85,77,83,84,81,82,84,72,80,84,84,84,85,79,84,82,80,84,84,83,84,81,83,78,79,84,83,83,81,81,79,81,81,75,81,79,80,81,72,80,79,78,81,77,82,65,81,65,83,NA,86,83,86,84,81,82,80,84,85,88,84,84,87,86,84,86,86,NA,82,81,84,84,88,81,84,86,77,83,80,83,85,82,81,79,79,72,84,77,82,86,81,84,81,78,82,81,82,79,77,79,77,80,81,84,86,78,81,82,79,82,83,80,82,84,81,84,82,82,78,82,73,79,82,82,78,82,82,84,80,79,80,81,82,84,86,82,84,81,86,84,82,84,82,81,79,84,77,73,79,81,83,85,80,82,81,86,81,84,83,81,82,84,84,84,88,88,84,83,89,87,90,89,86,88,85,89,89,92,84,82,91,89,90,91,84,NA,NA,NA,NA,84,77,78,NA,NA,66,80,83,89,89,90,87,85,90,90,87,83,81,85,78,82,81,81,88,92,93,86,83,85,82,89,87,87,86,89,82,81,82,84,82,82,85,82,78,79,76,83,75,82,84,83,82,87,87,87,90,88,86,85,86,83,67,79,75,74,80,81,83,82,83,83,84,82,76,77,81,81,79,80,81,82,72,83,84,84,80,78,84,78,84,79,83,84,86,81,82,79,79,75,81,82,82,81,80,77,77,83,82,82,82,84,78,75,83,87,86,84,87,85,86,83,81,79,81,84,77,82,75,81,74,82,83,82,78,81,82,78,82,82,84,86,83,85,86,84,86,84,87,87,87,88,86,88,86,86,83,84,87,85,87,85,86,82,83,80,81,81,80,80,74,80,75,78,88,68,84,85,84,81,85,85,83,75,83,79,73,74,81,72,83,81,85,84,86,87,88,82,87,83,83,86,86,84,81,NA,86,82,85,84,82,83,84,66,85,87,87,85,87,83,83,76,86,78,86,75,77,83,81,84,84,83,84,82,86,79,79,82,84,83,84,80,81,78,86,86,81,85,87,80,85,84,81,82,79,79,84,81,82,81,86,86,83,81,88,86,84,87,81,83,81,80,85,86,84,85,87,88,87,83,88,85,86,80,83,81,85,86,85,81,80,85,83,80,83,81,80,75,83,84,87,83,83,86,83,82,83,78,78,79,82,84,77,83,81,90,84,84,90,90,83,90,91,93,87,90,85,87,84,85,91,91,93,86,82,82,82,84,84,84,82,82,87,84,84,86,90,84,84,78,83,82,83,87,90,83,84,84,85,84,85,86,88,92,91,91,92,83,82,79,82,88,87,81,83,86,86,88,88,91,92,87,88,86,87,81,80,83,89,92,88,88,84,86,88,90,88,84,86,90,89,80,77,NA,NA,86,95,91,87,84,81,84,87,90,84,91,90,90,92,92,86,84,81,84,84,91,89,87,84,88,81,84,83,81,81,82,80,74,84,83,86,86,85,87,79,83,82,83,78,82,84,85,81,80,78,83,77,79,82,79,78,77,82,78,85,82,83,80,82,72,75,83,83,83,79,82,80,84,84,82,78,86,86,85,86,83,80,84,86,82,86,86,84,86,86,84,83,83,86,77,82,84,85,86,86,86,88,86,87,88,88,90,90,89,86,84,87,83,88,81,86,87,86,82,81,85,87,87,88,87,87,89,87,87,84,87,90,89,87,87,89,88,87,87,87,87,88,89,83,84,91,87,86,87,88,89,78,89,90,86,90,88,89,91,91,77,78,86,83,81,85,86,87,87,87,79,85,84,86,82,82,86,85,84,85,85,84,81,86,88,81,85,86,89,78,88,85,89,91,90,89,86,88,79,83,81,75,84,73,81,86,84,86,81,84,82,74,81,87,87,80,84,84,86,86,87,86,81,71,81,81,79,77,84,82,78,78,82,84,86,82,79,82,77,74,84,86,88,84,89,88,86,84,87,83,88,88,88,85,84,75,82,78,80,79,77,82,83,82,88,87,78,82,82,80,80,85,87,84,80,84,84,85,86,82,83,83,85,82,82,84,78,87,87,86,86,82,83,80,84,80,83,87,89,87,86,85,83,83,82,78,78,82,83,82,81,81,81,82,81,81,84,81,85,83,84,83,84,80,83,81,87,89,87,85,83,85,86,86,86,89,85,84,87,87,87,90,92,90,91,84,88,84,86,85,86,79,82,81,82,78,82,83,83,80,86,87,81,78,79,81,78,79,86,86,83,86,86,81,83,86,78,84,87,85,85,83,84,75,83,84,84,84,80,81,83,81,82,80,78,85,86,84,83,83,74,84,83,83,80,79,83,72,82,86,80,77,82,78,80,83,84,78,81,81,81,83,84,80,69,81,83,76,79,80,80,80,75,81,82,84,81,81,81,81,80,82,81,82,75,80,75,79,78,82,81,81,81,80,81,80,82,82,82,82,81,82,83,77,72,82,82,79,80,79,80,82,77,82,79
SKEJ,7.024813,-73.807224,2.89924,60,91,86,91,93,94,86,79,78,87,93,92,92,91,94,93,93,92,91,92,92,91,87,89,93,93,91,90,93,93,93,91,93,93,91,90,92,92,89,91,91,89,90,93,88,91,89,89,89,91,91,89,93,89,93,93,87,91,88,86,93,89,89,89,88,77,88,78,82,NA,90,NA,90,81,NA,NA,78,87,NA,80,90,93,91,87,89,87,94,94,93,92,91,91,92,87,94,92,NA,88,89,91,93,95,95,93,92,78,92,86,93,92,91,86,84,91,84,92,90,90,92,93,102,91,86,91,90,90,89,86,87,81,86,88,89,91,92,86,91,89,91,87,89,89,91,89,89,92,92,81,87,86,87,90,93,87,92,93,89,93,89,86,93,92,86,93,94,91,91,91,94,93,93,89,90,93,93,86,87,91,93,89,94,93,90,93,94,91,91,93,89,93,91,93,91,93,93,96,93,87,96,93,95,95,95,95,95,95,96,95,91,95,87,96,95,95,NA,NA,NA,NA,93,87,87,NA,NA,77,86,93,89,96,96,94,94,89,93,92,95,87,91,84,90,87,87,93,95,95,95,89,88,85,94,89,91,91,93,87,86,89,89,89,89,91,89,87,90,87,88,87,87,79,90,87,92,93,93,94,94,92,91,89,93,86,88,87,81,86,90,87,88,89,91,89,87,80,83,84,89,91,92,85,90,91,87,93,89,86,87,89,89,91,91,87,88,90,86,84,89,86,87,86,87,89,87,91,90,86,88,88,87,89,89,89,85,87,89,91,89,87,91,89,92,84,88,85,84,87,90,86,91,82,86,87,86,87,89,89,91,89,91,91,91,91,91,91,91,91,91,93,93,93,93,93,93,93,93,93,95,94,94,94,93,91,91,90,88,88,86,90,87,86,86,84,89,91,77,86,90,92,88,90,93,91,84,93,86,88,83,86,82,85,89,90,92,91,94,95,93,91,87,87,93,95,95,92,89,93,90,91,91,93,95,94,94,95,95,96,96,96,95,91,90,96,91,91,89,80,88,86,91,91,91,89,91,93,91,86,92,91,91,92,86,88,86,93,91,88,90,95,87,95,87,89,86,82,89,93,89,91,83,93,94,93,90,92,96,88,94,91,87,94,93,86,93,93,91,90,93,95,95,96,95,89,89,90,89,91,88,93,89,89,93,91,87,92,90,87,87,89,91,84,93,91,88,87,89,84,89,87,90,90,93,90,94,90,91,93,93,95,91,95,89,95,95,96,96,93,89,91,93,96,98,96,96,93,88,87,91,95,92,95,92,89,93,86,89,91,89,91,87,89,93,88,91,93,95,88,92,93,87,93,93,93,96,95,97,96,95,89,87,89,91,93,89,92,90,91,91,93,97,95,95,89,93,90,91,91,91,93,95,95,91,93,91,86,94,95,87,95,91,95,88,86,NA,NA,91,91,95,89,91,89,89,93,93,94,88,94,91,95,93,95,84,88,90,91,93,95,95,90,91,84,91,86,89,91,84,89,86,91,89,93,95,87,93,89,84,90,84,87,91,89,86,91,86,86,89,88,82,89,87,89,89,87,88,93,89,91,89,82,86,83,89,91,91,90,87,89,89,91,87,82,87,89,89,90,90,90,92,91,91,87,91,90,91,92,91,91,87,93,93,88,89,93,93,93,92,93,95,95,92,92,93,95,96,93,89,91,87,90,89,91,93,91,91,91,92,89,93,93,93,95,92,92,94,94,95,93,90,91,95,97,95,95,93,96,95,95,95,97,93,96,96,92,93,93,93,95,95,95,98,98,91,95,95,96,83,89,95,96,89,89,93,93,93,93,94,93,92,95,91,89,90,95,95,96,96,95,91,95,96,86,87,96,92,95,91,97,96,96,98,95,91,92,89,86,92,83,87,93,95,91,95,95,89,89,90,89,83,91,93,89,82,93,93,88,95,93,93,86,92,93,89,90,84,91,82,82,89,81,91,89,82,89,88,81,91,93,95,91,95,95,95,87,89,95,95,93,96,93,87,84,90,86,86,90,83,91,92,87,91,95,87,84,91,92,88,93,93,90,82,88,91,94,89,89,89,88,91,93,89,87,92,94,96,95,95,91,91,91,93,89,90,91,96,96,93,95,91,89,91,87,84,92,86,89,91,93,90,93,91,88,93,91,89,90,87,89,92,88,90,81,89,95,95,92,93,91,93,89,93,87,91,93,93,90,91,93,94,93,95,93,90,102,91,84,91,87,90,82,89,84,91,90,91,84,89,93,87,89,84,89,91,86,92,93,91,86,93,89,88,89,88,84,91,91,90,91,92,89,91,88,93,83,91,83,91,87,86,88,83,91,91,91,88,91,84,91,90,91,92,87,91,90,87,87,89,87,91,92,84,89,89,92,91,89,84,91,89,90,82,88,91,80,84,88,89,86,86,86,89,91,91,87,82,87,86,87,88,91,91,86,88,93,86,89,89,93,84,87,90,87,89,90,91,90,91,93,91,91,87,88,88,90,87,89,89,91,91,91,84
