dd,mon,year,allmn
12/7/16,12,2016,72
12/8/16,12,2016,72
12/9/16,12,2016,72
12/10/16,12,2016,72
12/11/16,12,2016,72
12/12/16,12,2016,72
12/13/16,12,2016,72
12/14/16,12,2016,72
12/15/16,12,2016,72
12/16/16,12,2016,72
12/17/16,12,2016,72
12/18/16,12,2016,72
12/19/16,12,2016,72
12/20/16,12,2016,72
12/21/16,12,2016,72
12/22/16,12,2016,72
12/23/16,12,2016,72
12/24/16,12,2016,72
12/25/16,12,2016,72
12/26/16,12,2016,72
12/27/16,12,2016,72
12/28/16,12,2016,72
12/29/16,12,2016,72
12/30/16,12,2016,72
12/31/16,12,2016,72
