dd,mon,year,allmn
8/3/14,8,2014,44
8/4/14,8,2014,44
8/5/14,8,2014,44
8/6/14,8,2014,44
8/7/14,8,2014,44
8/8/14,8,2014,44
8/9/14,8,2014,44
8/10/14,8,2014,44
8/11/14,8,2014,44
8/12/14,8,2014,44
8/13/14,8,2014,44
8/14/14,8,2014,44
8/15/14,8,2014,44
8/16/14,8,2014,44
8/17/14,8,2014,44
8/18/14,8,2014,44
8/19/14,8,2014,44
8/20/14,8,2014,44
8/21/14,8,2014,44
8/22/14,8,2014,44
8/23/14,8,2014,44
8/24/14,8,2014,44
8/25/14,8,2014,44
8/26/14,8,2014,44
8/27/14,8,2014,44
8/28/14,8,2014,44
8/29/14,8,2014,44
8/30/14,8,2014,44
8/31/14,8,2014,44
9/1/14,9,2014,45
9/2/14,9,2014,45
9/3/14,9,2014,45
9/4/14,9,2014,45
9/5/14,9,2014,45
9/6/14,9,2014,45
9/7/14,9,2014,45
9/8/14,9,2014,45
9/9/14,9,2014,45
9/10/14,9,2014,45
9/11/14,9,2014,45
9/12/14,9,2014,45
9/13/14,9,2014,45
9/14/14,9,2014,45
9/15/14,9,2014,45
9/16/14,9,2014,45
9/17/14,9,2014,45
9/18/14,9,2014,45
9/19/14,9,2014,45
9/20/14,9,2014,45
9/21/14,9,2014,45
9/22/14,9,2014,45
9/23/14,9,2014,45
9/24/14,9,2014,45
9/25/14,9,2014,45
9/26/14,9,2014,45
9/27/14,9,2014,45
9/28/14,9,2014,45
9/29/14,9,2014,45
9/30/14,9,2014,45
10/1/14,10,2014,46
10/2/14,10,2014,46
10/3/14,10,2014,46
10/4/14,10,2014,46
10/5/14,10,2014,46
10/6/14,10,2014,46
10/7/14,10,2014,46
10/8/14,10,2014,46
10/9/14,10,2014,46
10/10/14,10,2014,46
10/11/14,10,2014,46
10/12/14,10,2014,46
10/13/14,10,2014,46
10/14/14,10,2014,46
10/15/14,10,2014,46
10/16/14,10,2014,46
10/17/14,10,2014,46
10/18/14,10,2014,46
10/19/14,10,2014,46
10/20/14,10,2014,46
10/21/14,10,2014,46
10/22/14,10,2014,46
10/23/14,10,2014,46
10/24/14,10,2014,46
10/25/14,10,2014,46
10/26/14,10,2014,46
10/27/14,10,2014,46
10/28/14,10,2014,46
10/29/14,10,2014,46
10/30/14,10,2014,46
10/31/14,10,2014,46
11/1/14,11,2014,47
11/2/14,11,2014,47
11/3/14,11,2014,47
11/4/14,11,2014,47
11/5/14,11,2014,47
11/6/14,11,2014,47
11/7/14,11,2014,47
11/8/14,11,2014,47
11/9/14,11,2014,47
11/10/14,11,2014,47
11/11/14,11,2014,47
11/12/14,11,2014,47
11/13/14,11,2014,47
11/14/14,11,2014,47
11/15/14,11,2014,47
11/16/14,11,2014,47
11/17/14,11,2014,47
11/18/14,11,2014,47
11/19/14,11,2014,47
11/20/14,11,2014,47
11/21/14,11,2014,47
11/22/14,11,2014,47
11/23/14,11,2014,47
11/24/14,11,2014,47
11/25/14,11,2014,47
11/26/14,11,2014,47
11/27/14,11,2014,47
11/28/14,11,2014,47
11/29/14,11,2014,47
11/30/14,11,2014,47
12/1/14,12,2014,48
12/2/14,12,2014,48
12/3/14,12,2014,48
12/4/14,12,2014,48
